CookerStat, GenerateAssetRegistry=0.022121, Initialize=0.121679, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionId181B0D5A40CD8810C519758BC3F366B1_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_27CDB7DA48F42E8C9FE5CEB2BA20B498__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=347, Duration=2.447016, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionId12092766489FE85FFA48DDA3F891E6E1_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B902DB1540FED521FD62E0835C3C5CA5__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=347, Duration=2.479803, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionIdAB77509041A50ECCA881CE835CD4A904_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_431B5FF549FC46D4D209239EB16588C6__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=347, Duration=2.397239, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionId181B0D5A40CD8810C519758BC3F366B1_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_81C305334321FA61086CBE8AF594DCD5__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=1359, Duration=2.093434, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionId12092766489FE85FFA48DDA3F891E6E1_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8C327269439E66979EDD98AB2E4E7001__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=347, Duration=2.611756, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionIdAB77509041A50ECCA881CE835CD4A904_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C798C3754A06C41CB6D1AB9227C97475__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=587, Duration=2.474669, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionId181B0D5A40CD8810C519758BC3F366B1_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3DE598FF43FBBE83A46F3EAF629B00FC__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=549, Duration=2.686817, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionIdAB77509041A50ECCA881CE835CD4A904_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B4B0EEE443B8EAEBDC58658C8F2D5DA2__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=487, Duration=2.946768, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionId12092766489FE85FFA48DDA3F891E6E1_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_50945F0C479D6B2CDB7D388ED0EFA2FF__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=347, Duration=2.853535, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionId181B0D5A40CD8810C519758BC3F366B1_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2FB44B0D484D5FB47F98AF8F977A0EB6__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=578, Duration=2.608202, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
DDCTransactionId12092766489FE85FFA48DDA3F891E6E1_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_58FAB558419F33A7957D148AB0C742F7__1_0_13123_0, StartTime=2016.11.11-15.22.06, HierarchicalDDC=, DataSize=347, Duration=2.691164, RunGuid=RunIDDB4997E147AE06B1153370845DA0DA1A
